title,studio,rottenTomatoesScore,audienceScore,story,genre,nTheatersOpening,usBoxOfficeAvgOpeningWeekend,grossDomestic,grossForeign,grossWorldwide,budget,profitability,openingWeekend,oscar,bafta,source
Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.99,150,25.99%,6.91,,,http://boxofficemojo.com/movies/?id=marsneedsmoms.htm
The Muppets,Disney,97,87,Quest,Comedy,3440,8500,88.54,69.80,158.34,45,351.87%,29.24,,,http://boxofficemojo.com/movies/?id=themuppets.htm
X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160,221.01%,55.10,,,http://boxofficemojo.com/movies/?id=xmenfirstclass.htm
Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.40,140,263.15%,65.06,,,http://boxofficemojo.com/movies/?id=captainamerica.htm
Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.51,150,299.01%,65.72,,,http://boxofficemojo.com/movies/?id=thor.htm
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.07,802.80,"1,043.87",250,417.55%,90.15,,,http://boxofficemojo.com/movies/?id=piratesofthecaribbean4.htm
Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.30,18.80,37.10,30,123.67%,7.71,,,http://boxofficemojo.com/movies/?id=frightnight2011.htm
Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,148.76,373.50,522.26,130,401.74%,34.08,,,http://boxofficemojo.com/movies/?id=pussinboots12.htm
Kung Fu Panda 2,DreamWorks,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.02,150,442.02%,47.66,,,http://boxofficemojo.com/movies/?id=kungfupanda2.htm
The Help,DreamWorks,75,91,Maturation,Drama,2534,10278,169.22,37.02,206.24,25,824.98%,26.04,supporting actress,,http://boxofficemojo.com/movies/?id=help2011.htm
Real Steel,DreamWorks,58,81,Underdog,Action,3440,7942,83.61,186.20,269.81,110,245.28%,27.32,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/10/movie-projector-real-steel-ides-of-march.html
Transformers: Dark of the Moon,DreamWorks,35,67,Quest,Action,4088,23937,352.39,770.81,"1,123.20",195,576.00%,97.85,,,http://boxofficemojo.com/movies/?id=transformers3.htm
Tinker Tailor Soldier Spy,Focus,83,68,,Thriller,809,6772,23.91,53.84,77.75,21,370.24%,5.47,,,http://boxofficemojo.com/movies/?id=tinkertailorsoldierspy.htm
The Sitter,Fox,22,43,,Comedy,2750,2582,30.44,4.14,34.58,25,138.32%,9.85,,,http://boxofficemojo.com/movies/?id=sitter.htm
We Bought a Zoo,Fox,63,79,,Comedy,3117,3003,74.48,26.7,101.18,50,202.36%,9.36,,,http://boxofficemojo.com/movies/?id=weboughtazoo.htm
Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,73.83,51.10,124.93,79,158.14%,25.00,,,http://boxofficemojo.com/movies/?id=jackandjill.htm
Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80,268.68%,30.51,,,http://boxofficemojo.com/movies/?id=thepretendwife.htm
Zookeeper,Happy Madison,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.30,80,212.88%,20.07,,,http://boxofficemojo.com/movies/?id=zookeeper.htm
Waiting For Forever,Independent,6,53,Love,Romance,3,2972,0.03,,0.03,5,0.50%,0.01,,,http://boxofficemojo.com/movies/?id=waitingforforever.htm
The Tree Of Life,Independent,84,61,Discovery,Drama,4,93230,13.30,41.00,54.30,32,169.70%,0.37,,,http://boxofficemojo.com/movies/?id=treeoflife.htm
Beginners,Independent,84,80,Love,Comedy,5,28268,5.79,8.52,14.31,3.2,447.19%,0.14,supporting actor,,http://boxofficemojo.com/movies/?id=beginners.htm
Shame,Independent,80,80,,Drama,10,34952,3.87,10.09,13.96,6.5,214.77%,0.34,,,http://boxofficemojo.com/movies/?id=shame.htm
The Son Of No One,Independent,18,61,Discovery,Thriller,10,1802,0.03,?,0.03,15,0.20%,0.02,,,http://en.wikipedia.org/wiki/The_Son_of_No_One
Albert Nobbs,Independent,53,43,,Drama,245,2841,2.75,0,2.75,8,34.38%,0.69,,,http://boxofficemojo.com/movies/?id=albertnobbs.htm
